image_id,source_image,source_suffix,corruption,severity,corruption_seed,corrupted_filename
000003,/root/autodl-tmp/helmet_yolo_v10/images/train/000003.jpg,.jpg,contrast,3,2428592386,000003__A1C__contrast__s3.png
000004,/root/autodl-tmp/helmet_yolo_v10/images/train/000004.jpg,.jpg,zoom_blur,1,2784099972,000004__A1C__zoom_blur__s1.png
000006,/root/autodl-tmp/helmet_yolo_v10/images/train/000006.jpg,.jpg,zoom_blur,1,3905481167,000006__A1C__zoom_blur__s1.png
000007,/root/autodl-tmp/helmet_yolo_v10/images/train/000007.jpg,.jpg,jpeg_compression,3,3491851543,000007__A1C__jpeg_compression__s3.png
000008,/root/autodl-tmp/helmet_yolo_v10/images/train/000008.jpg,.jpg,motion_blur,2,1448900803,000008__A1C__motion_blur__s2.png
000010,/root/autodl-tmp/helmet_yolo_v10/images/train/000010.jpg,.jpg,gaussian_noise,3,2929147521,000010__A1C__gaussian_noise__s3.png
000012,/root/autodl-tmp/helmet_yolo_v10/images/train/000012.jpg,.jpg,gaussian_noise,2,3788302016,000012__A1C__gaussian_noise__s2.png
000013,/root/autodl-tmp/helmet_yolo_v10/images/train/000013.jpg,.jpg,gaussian_noise,3,580253130,000013__A1C__gaussian_noise__s3.png
000014,/root/autodl-tmp/helmet_yolo_v10/images/train/000014.jpg,.jpg,contrast,1,3682373721,000014__A1C__contrast__s1.png
000015,/root/autodl-tmp/helmet_yolo_v10/images/train/000015.jpg,.jpg,snow,1,2421510150,000015__A1C__snow__s1.png
000016,/root/autodl-tmp/helmet_yolo_v10/images/train/000016.jpg,.jpg,motion_blur,3,1874624340,000016__A1C__motion_blur__s3.png
000017,/root/autodl-tmp/helmet_yolo_v10/images/train/000017.jpg,.jpg,defocus_blur,1,2638379815,000017__A1C__defocus_blur__s1.png
000020,/root/autodl-tmp/helmet_yolo_v10/images/train/000020.jpg,.jpg,impulse_noise,2,1607002902,000020__A1C__impulse_noise__s2.png
000021,/root/autodl-tmp/helmet_yolo_v10/images/train/000021.jpg,.jpg,snow,2,2262097295,000021__A1C__snow__s2.png
000023,/root/autodl-tmp/helmet_yolo_v10/images/train/000023.jpg,.jpg,zoom_blur,2,2384085723,000023__A1C__zoom_blur__s2.png
000024,/root/autodl-tmp/helmet_yolo_v10/images/train/000024.jpg,.jpg,snow,2,112065360,000024__A1C__snow__s2.png
000025,/root/autodl-tmp/helmet_yolo_v10/images/train/000025.jpg,.jpg,glass_blur,2,1220343969,000025__A1C__glass_blur__s2.png
000026,/root/autodl-tmp/helmet_yolo_v10/images/train/000026.jpg,.jpg,contrast,3,1185632362,000026__A1C__contrast__s3.png
000028,/root/autodl-tmp/helmet_yolo_v10/images/train/000028.jpg,.jpg,frost,2,2833854527,000028__A1C__frost__s2.png
000029,/root/autodl-tmp/helmet_yolo_v10/images/train/000029.jpg,.jpg,glass_blur,2,3409949824,000029__A1C__glass_blur__s2.png
000032,/root/autodl-tmp/helmet_yolo_v10/images/train/000032.jpg,.jpg,contrast,1,4288404316,000032__A1C__contrast__s1.png
000033,/root/autodl-tmp/helmet_yolo_v10/images/train/000033.jpg,.jpg,contrast,2,2483042819,000033__A1C__contrast__s2.png
000036,/root/autodl-tmp/helmet_yolo_v10/images/train/000036.jpg,.jpg,gaussian_noise,2,725885275,000036__A1C__gaussian_noise__s2.png
000037,/root/autodl-tmp/helmet_yolo_v10/images/train/000037.jpg,.jpg,snow,1,786378266,000037__A1C__snow__s1.png
000038,/root/autodl-tmp/helmet_yolo_v10/images/train/000038.jpg,.jpg,pixelate,1,51729203,000038__A1C__pixelate__s1.png
000039,/root/autodl-tmp/helmet_yolo_v10/images/train/000039.jpg,.jpg,pixelate,3,1083949478,000039__A1C__pixelate__s3.png
000040,/root/autodl-tmp/helmet_yolo_v10/images/train/000040.jpg,.jpg,defocus_blur,2,2918424544,000040__A1C__defocus_blur__s2.png
000041,/root/autodl-tmp/helmet_yolo_v10/images/train/000041.jpg,.jpg,brightness,1,4243211159,000041__A1C__brightness__s1.png
000042,/root/autodl-tmp/helmet_yolo_v10/images/train/000042.jpg,.jpg,defocus_blur,3,2995311306,000042__A1C__defocus_blur__s3.png
000043,/root/autodl-tmp/helmet_yolo_v10/images/train/000043.jpg,.jpg,fog,3,1634043039,000043__A1C__fog__s3.png
000044,/root/autodl-tmp/helmet_yolo_v10/images/train/000044.jpg,.jpg,snow,1,932021074,000044__A1C__snow__s1.png
000045,/root/autodl-tmp/helmet_yolo_v10/images/train/000045.jpg,.jpg,impulse_noise,3,220481868,000045__A1C__impulse_noise__s3.png
000046,/root/autodl-tmp/helmet_yolo_v10/images/train/000046.jpg,.jpg,gaussian_noise,1,917145048,000046__A1C__gaussian_noise__s1.png
000049,/root/autodl-tmp/helmet_yolo_v10/images/train/000049.jpg,.jpg,zoom_blur,2,4151912715,000049__A1C__zoom_blur__s2.png
000053,/root/autodl-tmp/helmet_yolo_v10/images/train/000053.jpg,.jpg,defocus_blur,3,2261430451,000053__A1C__defocus_blur__s3.png
000055,/root/autodl-tmp/helmet_yolo_v10/images/train/000055.jpg,.jpg,impulse_noise,2,2498697118,000055__A1C__impulse_noise__s2.png
000061,/root/autodl-tmp/helmet_yolo_v10/images/train/000061.jpg,.jpg,glass_blur,2,3001068894,000061__A1C__glass_blur__s2.png
000062,/root/autodl-tmp/helmet_yolo_v10/images/train/000062.jpg,.jpg,contrast,2,1839317352,000062__A1C__contrast__s2.png
000063,/root/autodl-tmp/helmet_yolo_v10/images/train/000063.jpg,.jpg,snow,2,1299072008,000063__A1C__snow__s2.png
000064,/root/autodl-tmp/helmet_yolo_v10/images/train/000064.jpg,.jpg,glass_blur,1,788228225,000064__A1C__glass_blur__s1.png
000065,/root/autodl-tmp/helmet_yolo_v10/images/train/000065.jpg,.jpg,motion_blur,1,3854196782,000065__A1C__motion_blur__s1.png
000066,/root/autodl-tmp/helmet_yolo_v10/images/train/000066.jpg,.jpg,fog,2,469731020,000066__A1C__fog__s2.png
000067,/root/autodl-tmp/helmet_yolo_v10/images/train/000067.jpg,.jpg,snow,2,1996054926,000067__A1C__snow__s2.png
000068,/root/autodl-tmp/helmet_yolo_v10/images/train/000068.jpg,.jpg,fog,2,686847911,000068__A1C__fog__s2.png
000070,/root/autodl-tmp/helmet_yolo_v10/images/train/000070.jpg,.jpg,zoom_blur,1,2666397626,000070__A1C__zoom_blur__s1.png
000071,/root/autodl-tmp/helmet_yolo_v10/images/train/000071.jpg,.jpg,snow,3,4081777144,000071__A1C__snow__s3.png
000072,/root/autodl-tmp/helmet_yolo_v10/images/train/000072.jpg,.jpg,snow,1,493163539,000072__A1C__snow__s1.png
000073,/root/autodl-tmp/helmet_yolo_v10/images/train/000073.jpg,.jpg,contrast,3,3424732621,000073__A1C__contrast__s3.png
000074,/root/autodl-tmp/helmet_yolo_v10/images/train/000074.jpg,.jpg,glass_blur,2,3928152695,000074__A1C__glass_blur__s2.png
000076,/root/autodl-tmp/helmet_yolo_v10/images/train/000076.jpg,.jpg,impulse_noise,2,3745519283,000076__A1C__impulse_noise__s2.png
000078,/root/autodl-tmp/helmet_yolo_v10/images/train/000078.jpg,.jpg,frost,1,3778248323,000078__A1C__frost__s1.png
000081,/root/autodl-tmp/helmet_yolo_v10/images/train/000081.jpg,.jpg,snow,1,1780403742,000081__A1C__snow__s1.png
000082,/root/autodl-tmp/helmet_yolo_v10/images/train/000082.jpg,.jpg,brightness,2,380225539,000082__A1C__brightness__s2.png
000083,/root/autodl-tmp/helmet_yolo_v10/images/train/000083.jpg,.jpg,glass_blur,3,763152939,000083__A1C__glass_blur__s3.png
000085,/root/autodl-tmp/helmet_yolo_v10/images/train/000085.jpg,.jpg,impulse_noise,1,3691921822,000085__A1C__impulse_noise__s1.png
000086,/root/autodl-tmp/helmet_yolo_v10/images/train/000086.jpg,.jpg,zoom_blur,2,3701931525,000086__A1C__zoom_blur__s2.png
000087,/root/autodl-tmp/helmet_yolo_v10/images/train/000087.jpg,.jpg,motion_blur,3,136170610,000087__A1C__motion_blur__s3.png
000088,/root/autodl-tmp/helmet_yolo_v10/images/train/000088.jpg,.jpg,snow,1,3260249716,000088__A1C__snow__s1.png
000090,/root/autodl-tmp/helmet_yolo_v10/images/train/000090.jpg,.jpg,motion_blur,2,2891916489,000090__A1C__motion_blur__s2.png
000091,/root/autodl-tmp/helmet_yolo_v10/images/train/000091.jpg,.jpg,jpeg_compression,2,3979784990,000091__A1C__jpeg_compression__s2.png
000092,/root/autodl-tmp/helmet_yolo_v10/images/train/000092.jpg,.jpg,snow,1,915199922,000092__A1C__snow__s1.png
000094,/root/autodl-tmp/helmet_yolo_v10/images/train/000094.jpg,.jpg,defocus_blur,1,1212623922,000094__A1C__defocus_blur__s1.png
000095,/root/autodl-tmp/helmet_yolo_v10/images/train/000095.jpg,.jpg,gaussian_noise,1,1471090294,000095__A1C__gaussian_noise__s1.png
000096,/root/autodl-tmp/helmet_yolo_v10/images/train/000096.jpg,.jpg,frost,1,1697444153,000096__A1C__frost__s1.png
000097,/root/autodl-tmp/helmet_yolo_v10/images/train/000097.jpg,.jpg,impulse_noise,3,821400502,000097__A1C__impulse_noise__s3.png
000099,/root/autodl-tmp/helmet_yolo_v10/images/train/000099.jpg,.jpg,frost,3,2200131419,000099__A1C__frost__s3.png
000100,/root/autodl-tmp/helmet_yolo_v10/images/train/000100.jpg,.jpg,jpeg_compression,1,3206899475,000100__A1C__jpeg_compression__s1.png
000101,/root/autodl-tmp/helmet_yolo_v10/images/train/000101.jpg,.jpg,fog,1,4009410902,000101__A1C__fog__s1.png
000102,/root/autodl-tmp/helmet_yolo_v10/images/train/000102.jpg,.jpg,gaussian_noise,3,672472221,000102__A1C__gaussian_noise__s3.png
000105,/root/autodl-tmp/helmet_yolo_v10/images/train/000105.jpg,.jpg,zoom_blur,2,2491040980,000105__A1C__zoom_blur__s2.png
000107,/root/autodl-tmp/helmet_yolo_v10/images/train/000107.jpg,.jpg,defocus_blur,2,2577059983,000107__A1C__defocus_blur__s2.png
000108,/root/autodl-tmp/helmet_yolo_v10/images/train/000108.jpg,.jpg,snow,2,4033927428,000108__A1C__snow__s2.png
000109,/root/autodl-tmp/helmet_yolo_v10/images/train/000109.jpg,.jpg,defocus_blur,2,1787165309,000109__A1C__defocus_blur__s2.png
000111,/root/autodl-tmp/helmet_yolo_v10/images/train/000111.jpg,.jpg,defocus_blur,3,742277927,000111__A1C__defocus_blur__s3.png
000112,/root/autodl-tmp/helmet_yolo_v10/images/train/000112.jpg,.jpg,brightness,2,2365008202,000112__A1C__brightness__s2.png
000113,/root/autodl-tmp/helmet_yolo_v10/images/train/000113.jpg,.jpg,motion_blur,2,4227606548,000113__A1C__motion_blur__s2.png
000115,/root/autodl-tmp/helmet_yolo_v10/images/train/000115.jpg,.jpg,zoom_blur,2,3484745085,000115__A1C__zoom_blur__s2.png
000116,/root/autodl-tmp/helmet_yolo_v10/images/train/000116.jpg,.jpg,defocus_blur,1,2271675900,000116__A1C__defocus_blur__s1.png
000117,/root/autodl-tmp/helmet_yolo_v10/images/train/000117.jpg,.jpg,pixelate,2,1699103231,000117__A1C__pixelate__s2.png
000118,/root/autodl-tmp/helmet_yolo_v10/images/train/000118.jpg,.jpg,zoom_blur,2,119762127,000118__A1C__zoom_blur__s2.png
000119,/root/autodl-tmp/helmet_yolo_v10/images/train/000119.jpg,.jpg,fog,1,3721870993,000119__A1C__fog__s1.png
000120,/root/autodl-tmp/helmet_yolo_v10/images/train/000120.jpg,.jpg,glass_blur,1,750444243,000120__A1C__glass_blur__s1.png
000121,/root/autodl-tmp/helmet_yolo_v10/images/train/000121.jpg,.jpg,shot_noise,2,4215736998,000121__A1C__shot_noise__s2.png
000122,/root/autodl-tmp/helmet_yolo_v10/images/train/000122.jpg,.jpg,defocus_blur,2,2242977482,000122__A1C__defocus_blur__s2.png
000124,/root/autodl-tmp/helmet_yolo_v10/images/train/000124.jpg,.jpg,defocus_blur,1,2501697209,000124__A1C__defocus_blur__s1.png
000126,/root/autodl-tmp/helmet_yolo_v10/images/train/000126.jpg,.jpg,frost,3,2292760796,000126__A1C__frost__s3.png
000130,/root/autodl-tmp/helmet_yolo_v10/images/train/000130.jpg,.jpg,jpeg_compression,3,2249599708,000130__A1C__jpeg_compression__s3.png
