corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
gaussian_noise,1,ALL,0,hat,1878,0.5717136346225685,0.40275481474241437,0.8035143769968051,0.5425985090521832,40987,0
gaussian_noise,1,ALL,1,person,22558,0.2827794039082726,0.10644441343170478,0.4457842007270148,0.19075272630552353,78491,0
gaussian_noise,1,ES,0,hat,213,0.1265124085520414,0.0629452650392136,0.4507042253521127,0.1596244131455399,28003,12984
gaussian_noise,1,ES,1,person,12259,0.24938155182255012,0.06953938463026987,0.4650460885879762,0.20156619626396932,58289,20202
gaussian_noise,1,S,0,hat,364,0.4965871618438587,0.2788323005484374,0.8159340659340659,0.48626373626373626,7649,33338
gaussian_noise,1,S,1,person,6173,0.3034076773553866,0.12641610365239325,0.37777417787137535,0.14433824720557265,13846,64645
gaussian_noise,1,M,0,hat,679,0.6569113131141016,0.4488793872158151,0.8144329896907216,0.5832106038291606,3598,37389
gaussian_noise,1,M,1,person,3776,0.4936125688169357,0.27161605621382634,0.4976165254237288,0.23040254237288135,5634,72857
gaussian_noise,1,L,0,hat,622,0.8340963110188965,0.6535416010699995,0.905144694533762,0.662379421221865,1667,39320
gaussian_noise,1,L,1,person,350,0.5113944940963348,0.3303302584251699,0.4114285714285714,0.20285714285714285,297,78194
gaussian_noise,1,ALL,all,all_macro,24436,0.42724651926542057,0.25459961408705956,0.62464928886191,0.36667561767885337,119478,0
gaussian_noise,1,ES,all,all_macro,12472,0.18794698018729578,0.06624232483474174,0.45787515697004444,0.1805953047047546,86292,33186
gaussian_noise,1,S,all,all_macro,6537,0.39999741959962265,0.20262420210041532,0.5968541219027206,0.3153009917346544,21495,97983
gaussian_noise,1,M,all,all_macro,4455,0.5752619409655186,0.3602477217148207,0.6560247575572252,0.406806573101021,9232,110246
gaussian_noise,1,L,all,all_macro,972,0.6727454025576156,0.4919359297475847,0.6582866329811667,0.4326182820395039,1964,117514
gaussian_noise,2,ALL,0,hat,1878,0.31205306462541416,0.21173803928576634,0.56975505857295,0.2987220447284345,72723,0
gaussian_noise,2,ALL,1,person,22558,0.10405649314016302,0.03529751353021124,0.13259154180335136,0.03205071371575494,25747,0
gaussian_noise,2,ES,0,hat,213,0.04792305731366936,0.02404826935528111,0.29107981220657275,0.10328638497652583,63486,9237
gaussian_noise,2,ES,1,person,12259,0.10554019496321779,0.02846865118224068,0.17758381597193898,0.04421241536830084,23139,2608
gaussian_noise,2,S,0,hat,364,0.32094348937065914,0.18098145590172693,0.5357142857142857,0.28296703296703296,5242,67481
gaussian_noise,2,S,1,person,6173,0.15103760541506167,0.06911773346610037,0.06512230682002268,0.015065608294184352,1735,24012
gaussian_noise,2,M,0,hat,679,0.47098354025776634,0.3044365445535441,0.572901325478645,0.34167893961708395,2271,70452
gaussian_noise,2,M,1,person,3776,0.3092760660755383,0.17861529021443234,0.1038135593220339,0.021716101694915255,782,24965
gaussian_noise,2,L,0,hat,622,0.5809908086925906,0.4233627683158936,0.6816720257234726,0.3279742765273312,1684,71039
gaussian_noise,2,L,1,person,350,0.31383514633514636,0.21076280769782407,0.05714285714285714,0.017142857142857144,36,25711
